Art	Name	Klasse	Note	Datum	Von	Bis	Rückgabe am	Fach	Raum	Lehrer	Text
Praktische Arbeit	HTML5+CSS+Javascript	4BHIF		11.10.2017	13:25	15:10		NVS1	Z107	BD	
Schularbeit	E1	4BHIF		16.10.2017	08:40	09:30		E1		RU	
Theorietest	1. Test	4BHIF		19.10.2017	10:35	11:25		POS1	Z107	HP	
Schularbeit	1.AM-SA	4BHIF		23.10.2017	09:35	10:25		AM	Z107	SM	
SMÜ	SMÜ1	4BHIF		07.11.2017	10:35	11:25		NVS1	Z211	BD	jQuery, Geolocation, Google Maps
SMÜ	SMÜ1	4BHIF		07.11.2017	15:15	16:05		NVS1	Z211	BD	jQuery, Geolocation, Google Maps
Theorietest	TT1	4BHIF		09.11.2017	14:20	15:10		SYP1	Z107	REM	
Praktische Arbeit	DBI_1	4BHIF		14.11.2017	10:35	12:20		DBI_1	Z107	BUG	
Praktische Arbeit	DBI_1	4BHIF		14.11.2017	13:25	15:10		DBI_1	Z107	BUG	
Schularbeit	First Test	4BHIF		16.11.2017	07:50	08:40		E1		KB	
Theorietest	DBI_1	4BHIF		22.11.2017	07:50	08:40		DBI_1	Z107	BUG	
Schularbeit	D	4BHIF		24.11.2017	09:35	11:25		D		SG	
Theorietest	NW2	4BHIF		29.11.2017	12:30	12:45		NW2	Z107	JE	
Theorietest	GGP	4BHIF		30.11.2017	13:25	14:15		GGP	Z107	PZ	
Theorietest	BWM_3	4BHIF		06.12.2017	08:40	09:30		BWM_3	Z107	TN	
SMÜ	E1	4BHIF		07.12.2017	07:50	08:40		E1	Z201	RU	
Praktische Arbeit	DBI_1	4BHIF		12.12.2017	10:35	12:20		DBI_1	Z107	BUG	
Praktische Arbeit	DBI_1	4BHIF		12.12.2017	13:25	15:10		DBI_1	Z107	BUG	
Theorietest	2. Test	4BHIF		14.12.2017	11:30	12:20		POS1	Z107	HP	
Schularbeit	2.AM-SA	4BHIF		18.12.2017	09:35	10:25		AM	Z107	SM	
Theorietest	DBI_1	4BHIF		21.12.2017	08:40	09:30		DBI_1	Z107	BUG	
